step time wall-clock mass x-mom y-mom z-mom energy L2 mass-balance
   2600 4.107261e-03 1.554500e+01 3.070962e+03 7.720593e+06 9.599849e+05 0.000000e+00 1.500479e+10 4.714806e+10 3.562539e+02
   2620 4.139505e-03 1.579600e+01 2.585134e+03 6.425549e+06 8.241980e+05 0.000000e+00 1.261731e+10 4.571928e+10 3.511363e+02
   2640 4.171756e-03 1.589700e+01 1.598023e+03 3.905592e+06 5.099374e+05 0.000000e+00 7.610226e+09 4.228372e+10 3.462056e+02
   2660 4.204014e-03 1.599700e+01 2.963349e+03 7.540454e+06 8.439613e+05 0.000000e+00 1.450699e+10 4.504053e+10 3.414602e+02
   2680 4.236279e-03 1.610900e+01 2.526023e+03 6.260886e+06 8.010735e+05 0.000000e+00 1.229463e+10 4.382837e+10 3.367927e+02
   2700 4.268551e-03 1.624900e+01 1.560253e+03 3.816809e+06 5.038177e+05 0.000000e+00 7.430781e+09 4.034688e+10 3.322189e+02
   2720 4.300828e-03 1.635400e+01 2.849939e+03 7.304992e+06 7.569586e+05 0.000000e+00 1.397105e+10 4.303741e+10 3.277470e+02
   2740 4.333111e-03 1.645800e+01 2.452732e+03 6.079248e+06 7.782564e+05 0.000000e+00 1.192535e+10 4.197584e+10 3.233083e+02
   2760 4.365398e-03 1.655800e+01 1.513435e+03 3.691081e+06 4.821808e+05 0.000000e+00 7.173556e+09 3.846810e+10 3.189270e+02
   2780 4.397691e-03 1.665800e+01 2.710455e+03 6.997375e+06 6.545803e+05 0.000000e+00 1.329031e+10 4.100136e+10 3.146157e+02
   2800 4.429988e-03 1.675800e+01 2.370813e+03 5.858573e+06 7.763781e+05 0.000000e+00 1.151647e+10 4.011539e+10 3.103143e+02
   2820 4.462290e-03 1.686900e+01 1.465849e+03 3.559216e+06 4.825443e+05 0.000000e+00 6.937043e+09 3.666085e+10 3.060578e+02
   2840 4.494596e-03 1.697500e+01 2.587241e+03 6.695103e+06 6.213639e+05 0.000000e+00 1.272073e+10 3.906984e+10 3.018621e+02
   2860 4.526907e-03 1.707500e+01 2.266458e+03 5.599115e+06 7.443765e+05 0.000000e+00 1.101799e+10 3.823907e+10 2.977030e+02
   2880 4.559221e-03 1.717700e+01 1.404068e+03 3.411663e+06 4.697925e+05 0.000000e+00 6.660244e+09 3.494197e+10 2.936251e+02
   2900 4.591540e-03 1.728600e+01 2.480463e+03 6.417328e+06 6.022572e+05 0.000000e+00 1.220315e+10 3.729213e+10 2.896117e+02
   2920 4.623863e-03 1.741000e+01 2.176725e+03 5.362446e+06 7.288254e+05 0.000000e+00 1.058986e+10 3.649448e+10 2.856097e+02
   2940 4.656191e-03 1.751200e+01 1.349145e+03 3.269835e+06 4.620886e+05 0.000000e+00 6.409279e+09 3.334483e+10 2.816792e+02
   2960 4.688523e-03 1.762600e+01 2.397446e+03 6.173128e+06 6.145395e+05 0.000000e+00 1.179813e+10 3.565303e+10 2.778498e+02
   2980 4.720859e-03 1.774400e+01 2.094974e+03 5.166981e+06 7.045829e+05 0.000000e+00 1.020960e+10 3.483346e+10 2.740842e+02
   3000 4.753200e-03 1.784300e+01 1.296296e+03 3.148154e+06 4.411954e+05 0.000000e+00 6.168651e+09 3.182241e+10 2.704145e+02
   3020 4.785546e-03 1.795200e+01 2.320966e+03 5.964808e+06 6.041543e+05 0.000000e+00 1.141034e+10 3.411136e+10 2.668416e+02
   3040 4.817897e-03 1.806900e+01 2.022172e+03 4.983329e+06 6.795237e+05 0.000000e+00 9.842779e+09 3.332070e+10 2.633131e+02
   3060 4.850252e-03 1.817300e+01 1.368549e+03 3.404228e+06 4.259924e+05 0.000000e+00 6.898813e+09 3.196666e+10 2.598875e+02
   3080 4.882613e-03 1.827300e+01 2.233695e+03 5.746130e+06 5.756573e+05 0.000000e+00 1.098410e+10 3.496115e+10 2.565163e+02
   3100 4.914978e-03 1.837400e+01 2.233539e+03 5.703042e+06 6.328439e+05 0.000000e+00 1.097872e+10 3.412521e+10 2.531620e+02
   3120 4.947349e-03 1.847500e+01 2.093575e+03 5.185162e+06 6.953831e+05 0.000000e+00 1.023812e+10 3.445223e+10 2.498307e+02
   3140 4.979725e-03 1.857400e+01 2.083560e+03 5.140425e+06 6.971593e+05 0.000000e+00 1.014051e+10 3.438899e+10 2.465400e+02
   3160 5.012107e-03 1.870000e+01 2.060901e+03 5.092897e+06 6.923182e+05 0.000000e+00 1.004809e+10 3.391692e+10 2.432711e+02
   3180 5.044493e-03 1.883000e+01 2.034391e+03 5.032017e+06 6.819296e+05 0.000000e+00 9.929757e+09 3.350139e+10 2.400196e+02
   3200 5.076885e-03 1.895200e+01 2.006370e+03 4.963671e+06 6.672415e+05 0.000000e+00 9.787319e+09 3.307351e+10 2.367918e+02
   3220 5.109282e-03 1.905300e+01 1.979345e+03 4.894086e+06 6.583437e+05 0.000000e+00 9.650560e+09 3.263737e+10 2.335939e+02
   3240 5.141684e-03 1.915400e+01 1.950670e+03 4.820199e+06 6.522392e+05 0.000000e+00 9.511622e+09 3.219225e+10 2.304275e+02
   3260 5.174091e-03 1.929200e+01 1.919890e+03 4.742209e+06 6.433061e+05 0.000000e+00 9.363269e+09 3.174089e+10 2.273025e+02
   3280 5.206503e-03 1.944500e+01 1.888930e+03 4.664367e+06 6.307912e+05 0.000000e+00 9.210966e+09 3.128738e+10 2.242338e+02
   3300 5.238920e-03 1.957200e+01 1.859596e+03 4.590545e+06 6.178938e+05 0.000000e+00 9.064010e+09 3.084070e+10 2.212141e+02
   3320 5.271342e-03 1.969000e+01 1.831586e+03 4.520002e+06 6.067061e+05 0.000000e+00 8.923044e+09 3.041327e+10 2.182212e+02
   3340 5.303768e-03 1.979000e+01 1.804255e+03 4.451482e+06 5.977402e+05 0.000000e+00 8.787595e+09 2.999996e+10 2.152607e+02
